growth_rate,dose,area,nutrient_index
45.91,Low,Plot A,22.35
47.25,Low,Plot A,33.05
39.15,Low,Plot A,16.98
45.38,Low,Plot A,25.65
44.95,Low,Plot A,22.7
47.64,Low,Plot A,32.47
45.2,Low,Plot A,32.76
46.4,Low,Plot A,23.55
46.11,Low,Plot A,22.87
47.64,Low,Plot A,28.33
44.45,Low,Plot A,23.26
48.67,Low,Plot A,28.43
43.72,Low,Plot A,24.47
46.6,Low,Plot A,29.79
46.24,Low,Plot A,29.9
51.42,Low,Plot A,28.82
43.46,Low,Plot A,22.01
46.85,Low,Plot A,33.75
44.66,Low,Plot A,22.59
42.53,Low,Plot A,28.77
47.23,Low,Plot A,31.05
43,Low,Plot A,26.96
45.35,Low,Plot A,28.3
47.61,Low,Plot A,29.69
47.04,Low,Plot A,28.56
46.87,Low,Plot B,31.28
41.63,Low,Plot B,23.38
44.59,Low,Plot B,23.56
45.17,Low,Plot B,34.58
43.4,Low,Plot B,30.88
40.95,Low,Plot B,22.9
46.49,Low,Plot B,30.82
48.13,Low,Plot B,32.85
44.95,Low,Plot B,24.66
48.57,Low,Plot B,28.19
42.17,Low,Plot B,19.64
43.24,Low,Plot B,28.43
46.43,Low,Plot B,31.31
44.72,Low,Plot B,27.62
47.88,Low,Plot B,27.18
47.37,Low,Plot B,25.11
44.91,Low,Plot B,25.04
42.41,Low,Plot B,27.88
44.59,Low,Plot B,26.82
47.44,Low,Plot B,30.7
48,Low,Plot B,28.31
44.73,Low,Plot B,26.44
40.94,Low,Plot B,17.33
42.03,Low,Plot B,20.23
47.2,Low,Plot B,23.79
46.87,Low,Plot C,34.62
46.93,Low,Plot C,31.85
45.2,Low,Plot C,26.09
45.15,Low,Plot C,25.39
50.52,Low,Plot C,21.68
49.3,Low,Plot C,30.77
46.22,Low,Plot C,20.5
48.22,Low,Plot C,26.28
48.7,Low,Plot C,29.33
52.81,Low,Plot C,30.49
44.93,Low,Plot C,27.85
48.66,Low,Plot C,35.99
50.51,Low,Plot C,32.09
52.39,Low,Plot C,25.49
46.08,Low,Plot C,23.02
46.83,Low,Plot C,21.21
49.91,Low,Plot C,28.83
43.59,Low,Plot C,21.07
48.94,Low,Plot C,33.55
53.99,Low,Plot C,46.96
49.24,Low,Plot C,24.6
41.6,Low,Plot C,26.3
45.56,Low,Plot C,25.26
46.16,Low,Plot C,26.99
51.2,Low,Plot C,31.5
48.52,Low,Plot D,23.94
43.98,Low,Plot D,23.95
48.84,Low,Plot D,38.14
49.39,Low,Plot D,34.55
47.5,Low,Plot D,22.58
46.1,Low,Plot D,24.04
55.39,Low,Plot D,29.12
51.52,Low,Plot D,26.39
51.79,Low,Plot D,33
48.53,Low,Plot D,28.91
47.04,Low,Plot D,30.45
47.64,Low,Plot D,22.45
45.17,Low,Plot D,27.96
53.74,Low,Plot D,33.04
48.64,Low,Plot D,30.62
52.92,Low,Plot D,32.85
47.77,Low,Plot D,34.19
50.29,Low,Plot D,37.85
49.55,Low,Plot D,23.61
44.9,Low,Plot D,35.19
54.17,Low,Plot D,31.61
47.85,Low,Plot D,36.02
45.68,Low,Plot D,22.93
50.93,Low,Plot D,28.58
48.98,Low,Plot D,28.57
49.01,Medium,Plot A,36.45
48.27,Medium,Plot A,32.18
41.85,Medium,Plot A,24.87
45.47,Medium,Plot A,21.19
45.37,Medium,Plot A,25.55
50.75,Medium,Plot A,23.82
48.09,Medium,Plot A,26.43
47.02,Medium,Plot A,33.22
49.61,Medium,Plot A,36.46
47.54,Medium,Plot A,25.04
47.33,Medium,Plot A,29.61
48.53,Medium,Plot A,23.7
48.27,Medium,Plot A,30.1
55.55,Medium,Plot A,42.72
45.44,Medium,Plot A,25.83
43.61,Medium,Plot A,23.21
48.95,Medium,Plot A,35.4
45.81,Medium,Plot A,24.22
41.56,Medium,Plot A,24.12
44.81,Medium,Plot A,24.24
45.37,Medium,Plot A,26.75
42.73,Medium,Plot A,18.3
54.39,Medium,Plot A,26.2
44.71,Medium,Plot A,36.01
56.72,Medium,Plot A,28.17
47.9,Medium,Plot B,30.44
54.19,Medium,Plot B,27.58
48.26,Medium,Plot B,32.85
50.3,Medium,Plot B,28.3
48.6,Medium,Plot B,22.28
48.29,Medium,Plot B,27.64
49.7,Medium,Plot B,27.04
50.41,Medium,Plot B,35.31
49.47,Medium,Plot B,31.44
49.16,Medium,Plot B,29.5
46.84,Medium,Plot B,29.68
48.71,Medium,Plot B,39.69
53.72,Medium,Plot B,34.16
46.71,Medium,Plot B,22.46
52.57,Medium,Plot B,32.86
50.44,Medium,Plot B,21.54
51.78,Medium,Plot B,33.34
45.67,Medium,Plot B,25.04
49.79,Medium,Plot B,30.14
48.12,Medium,Plot B,28.36
48.24,Medium,Plot B,29.71
53.41,Medium,Plot B,19.22
48.29,Medium,Plot B,29.86
49.89,Medium,Plot B,28.07
43.73,Medium,Plot B,27.88
56.18,Medium,Plot C,26.04
53.59,Medium,Plot C,30.51
50.82,Medium,Plot C,25.23
50,Medium,Plot C,36.5
52.75,Medium,Plot C,40.31
54.53,Medium,Plot C,34.91
56.23,Medium,Plot C,35.93
53.48,Medium,Plot C,30.61
51.2,Medium,Plot C,27.23
53.97,Medium,Plot C,26.49
53.35,Medium,Plot C,31.05
54.51,Medium,Plot C,36.46
56.46,Medium,Plot C,37.53
46.28,Medium,Plot C,27.44
47.48,Medium,Plot C,25.9
55.53,Medium,Plot C,36.51
48.9,Medium,Plot C,24.27
51.1,Medium,Plot C,24.58
48.99,Medium,Plot C,30.95
54.47,Medium,Plot C,35.72
44.13,Medium,Plot C,28
51.22,Medium,Plot C,32.8
55.85,Medium,Plot C,23.19
49.23,Medium,Plot C,32.49
46.26,Medium,Plot C,35.13
53.11,Medium,Plot D,36.1
50.29,Medium,Plot D,34.24
55.21,Medium,Plot D,34.29
52.7,Medium,Plot D,32.97
49.41,Medium,Plot D,28.91
51.54,Medium,Plot D,32.84
55,Medium,Plot D,27.71
51.62,Medium,Plot D,38.38
49.77,Medium,Plot D,25.75
52.61,Medium,Plot D,35.79
52.03,Medium,Plot D,37.87
54.57,Medium,Plot D,36.95
53.66,Medium,Plot D,43.84
51.38,Medium,Plot D,20.81
56.81,Medium,Plot D,31.8
52.32,Medium,Plot D,37.94
47.19,Medium,Plot D,22.06
47.2,Medium,Plot D,24.35
53.32,Medium,Plot D,34.61
52.83,Medium,Plot D,24.63
45.07,Medium,Plot D,27.31
50.58,Medium,Plot D,32.65
54.11,Medium,Plot D,33.15
54.28,Medium,Plot D,33.71
53.59,Medium,Plot D,28.63
50.46,High,Plot A,31.26
53.46,High,Plot A,30.11
52.56,High,Plot A,30.21
50.65,High,Plot A,34.54
45.02,High,Plot A,20.53
46.55,High,Plot A,16.26
48.97,High,Plot A,33.13
50.15,High,Plot A,31.08
54.27,High,Plot A,39.2
50.79,High,Plot A,37.24
51.28,High,Plot A,26.58
49.22,High,Plot A,22.13
48.34,High,Plot A,27.21
53.41,High,Plot A,40.65
46.85,High,Plot A,30.08
47.88,High,Plot A,31.1
50.61,High,Plot A,21.21
53.78,High,Plot A,29.25
49.4,High,Plot A,24.29
49.04,High,Plot A,31.56
50.43,High,Plot A,31.9
52.09,High,Plot A,37.85
49.97,High,Plot A,22.6
54.2,High,Plot A,30.86
54.34,High,Plot A,34.52
51.61,High,Plot B,32.71
57.85,High,Plot B,45.1
52.21,High,Plot B,32.13
55.23,High,Plot B,28.91
53,High,Plot B,31.67
52.94,High,Plot B,27.6
47.23,High,Plot B,17.97
48.65,High,Plot B,26.9
51.12,High,Plot B,40.36
55.32,High,Plot B,28.38
53.04,High,Plot B,29.79
51.15,High,Plot B,31.61
53.86,High,Plot B,30.62
55.19,High,Plot B,27.41
52.02,High,Plot B,44.2
52.67,High,Plot B,38.77
52.27,High,Plot B,34.27
51.83,High,Plot B,30.25
49.66,High,Plot B,31.95
49.45,High,Plot B,33
55.26,High,Plot B,34.99
51.14,High,Plot B,32.95
51.07,High,Plot B,35.32
46.51,High,Plot B,26.23
46.03,High,Plot B,20.14
58.09,High,Plot C,39.33
51.84,High,Plot C,23.59
45.11,High,Plot C,24.35
61.26,High,Plot C,38.93
52.32,High,Plot C,33.72
49.32,High,Plot C,28.1
54.3,High,Plot C,32.15
56.37,High,Plot C,35.55
56,High,Plot C,30.16
56.69,High,Plot C,42.16
51.09,High,Plot C,26.22
58.01,High,Plot C,33.85
58.21,High,Plot C,32.71
58.37,High,Plot C,35.68
54.77,High,Plot C,40.69
52.91,High,Plot C,27.04
52.65,High,Plot C,33.85
49.3,High,Plot C,32.77
52.38,High,Plot C,37.17
46.82,High,Plot C,24.16
48.94,High,Plot C,25.23
54.74,High,Plot C,31.95
53.24,High,Plot C,31.15
54.61,High,Plot C,27.72
56.12,High,Plot C,36.99
56.16,High,Plot D,36.48
55.89,High,Plot D,43.71
54.74,High,Plot D,31.31
52.74,High,Plot D,26.48
51.27,High,Plot D,26.32
54.79,High,Plot D,34.54
55.15,High,Plot D,29.26
57.7,High,Plot D,38.32
54.52,High,Plot D,29.45
56.65,High,Plot D,34.93
50.66,High,Plot D,30.05
55.79,High,Plot D,28.97
55.57,High,Plot D,26.07
59.01,High,Plot D,41.64
54.24,High,Plot D,34.36
47.77,High,Plot D,22.88
54.12,High,Plot D,27.11
57.14,High,Plot D,44.27
51.47,High,Plot D,26.69
55.71,High,Plot D,41.48
51.33,High,Plot D,32.04
60.46,High,Plot D,28.02
51.16,High,Plot D,28.58
53.44,High,Plot D,36.13
55.72,High,Plot D,24.56
